id|startDate|endDate|addedDate|uuid|partialTime|team_id|deliverable_id|discipline_id
1|1617062400000|1618185600000|1644806199669|aad0426c-4dd1-518c-8881-c158a9585333|0|1|1|1
2|1609718400000|1610668800000|1644806199669|65cdfdb5-8949-50bd-88fa-9314f1b01f73|1|2|2|2
3|1610928000000|1611878400000|1644806199669|878f17e2-42c8-5029-8199-a2ba792dc708|1|2|2|2
4|1612137600000|1613088000000|1644806199669|1bf6be68-af57-5ed7-bcec-8ca547492cf6|1|2|2|2
5|1616976000000|1617926400000|1644806199669|8716d2ab-58f8-5f53-a99c-cf9d452817dc|1|2|2|2
6|1618185600000|1619136000000|1644806199669|162d090e-b284-59bc-bc51-6c952defef72|1|2|2|2
7|1619395200000|1620345600000|1644806199669|37bd92a4-d8a7-5ac4-89a4-f00f069e5dec|1|2|2|2
8|1620604800000|1621555200000|1644806199669|5726f5e3-dbe7-58e2-9911-89779cebaaa4|1|2|2|2
9|1621814400000|1622764800000|1644806199669|7edf8277-cf03-57e0-bae4-1b49939eb327|1|2|2|2
10|1623024000000|1623974400000|1644806199669|78eefb9e-9b27-524e-9ddf-f336aa1bc082|1|2|2|2
11|1629244800000|1630368000000|1644806199669|fd2a3fd0-6255-5001-8a14-401702714e55|0|3|793|3
12|1630454400000|1631577600000|1644806199669|d35c16af-e54b-51f4-ac74-a8086de5b94b|0|3|793|3
13|1631664000000|1632787200000|1644806199669|ecb5694f-ae4a-5456-aa1e-118bc24f7235|0|3|793|3
14|1619136000000|1620259200000|1644806199669|9be6d061-c674-5f9d-8127-930abb66ae4e|0|4|873|4
15|1620345600000|1621468800000|1644806199669|ec81af44-6ace-5f82-973a-7ccc88ae3e66|0|4|873|4
16|1620345600000|1621468800000|1644806199669|e8f9f2ba-2c23-55db-9bfc-be9ec4c5ec9f|0|4|873|5
17|1621555200000|1622678400000|1644806199669|4d048832-0f83-54b3-a53e-99adb4a2f6b1|0|4|873|4
18|1621555200000|1622678400000|1644806199669|c9d4b373-493c-5816-a72c-1b2a7455b5fa|0|4|873|5
19|1622764800000|1623888000000|1644806199669|5cfb211c-2c7a-51c0-9d0d-be8443064ebc|0|4|873|4
20|1622764800000|1623888000000|1644806199669|04ebb4fb-8549-5a08-b385-8d3df4587acb|0|4|873|5
21|1631232000000|1632355200000|1644806199669|40ba761c-b44b-5d02-99ba-3ae73df681b1|1|4|873|5
22|1633651200000|1634256000000|1644806199669|6b9bba80-36f9-5c92-8d09-26508208e413|0|4|873|5
23|1634342400000|1634774400000|1644806199669|1b35824d-2954-54c3-bca3-07e156b39854|0|4|873|5
24|1634860800000|1635984000000|1644806199669|34104987-bb60-5659-992f-1021b5cfeeca|0|4|873|5
25|1620345600000|1621468800000|1644806199669|2f0c50c0-31b2-59a1-acb1-7335a5fe448f|0|5|873|6
26|1621555200000|1622678400000|1644806199669|ff3155f9-1d3e-51e9-a8b2-0badaa82dbcf|0|5|873|6
27|1621555200000|1622678400000|1644806199669|d8c5dc4e-13e1-5e06-8575-a0b161b57e13|0|5|873|7
28|1622764800000|1623888000000|1644806199669|efc06738-d5f2-5ebb-8f42-db059e5f6b54|0|5|873|7
29|1627603200000|1628726400000|1644806199669|3469e902-b104-5965-9bd3-84baf3ca4b87|0|5|873|7
30|1627603200000|1628726400000|1644806199669|2f518b24-8dbe-5d89-b978-15259527259f|1|5|873|7
31|1628812800000|1629936000000|1644806199669|48bf0d3f-6005-5926-8ebd-6fd6fb4d9aa1|0|5|873|7
32|1628812800000|1629936000000|1644806199669|17f601bb-eb35-5280-86c6-d9cb993646e2|1|5|873|7
33|1634860800000|1635984000000|1644806199669|1180261b-6776-529e-b5ec-9a63787f2d9e|0|5|873|7
34|1636070400000|1637193600000|1644806199669|aef85f93-a4c9-5c75-8b27-b1839b158d34|0|5|873|7
35|1637280000000|1638403200000|1644806199669|300a9210-eced-5cc6-a92a-898100ac89ab|0|5|873|7
36|1619395200000|1620345600000|1644806199669|b16c873d-d565-5fe0-953d-68b2400ae1e3|0|6|873|8
37|1619395200000|1620345600000|1644806199669|2ea64d01-bfb0-5b88-91fa-a25addff7c78|0|6|873|8
38|1620604800000|1621555200000|1644806199669|b9ed4238-f1b4-5e0e-a916-ffeb7c43bb3d|0|6|873|8
39|1621814400000|1622764800000|1644806199669|937a9fa3-75ff-5f69-8022-a0254371bcff|1|6|873|9
40|1621814400000|1622764800000|1644806199669|3402d6ef-bfde-5dd9-a822-d4997651db7a|0|6|873|8
41|1628121600000|1629244800000|1644806199669|59118c9e-668d-5c87-b0f1-bbcdf3525ee7|0|7|873|10
42|1628121600000|1629244800000|1644806199669|b50f707d-a411-5720-a2db-ddecd9bebc96|0|7|873|10
43|1629331200000|1630454400000|1644806199669|04265703-155d-530c-acfc-1193f00f10eb|0|7|873|10
44|1629331200000|1630454400000|1644806199669|aa0bb6e7-4110-5e7f-8d89-3736948c28af|0|7|873|10
45|1629331200000|1630454400000|1644806199669|9839085e-bb2d-5baa-b1a5-efd3ddb3b61f|0|7|873|10
46|1631750400000|1632873600000|1644806199669|c2d6fcfe-c9cd-5356-a3f1-a8a4a891ac84|0|7|873|10
47|1642982400000|1643932800000|1644806199669|f01bb39b-2324-5ce3-ab68-5470b3177c87|0|8|873|11
48|1620000000000|1620518400000|1644806199669|e13c3ee2-5a8b-50c1-993e-ee958aba569a|0|9|873|12
49|1623628800000|1624147200000|1644806199669|5e99fa6b-58f8-5f6e-b5ea-5d411c6f2c25|0|9|873|12
